Sat, 17 Oct 2020 19:22:02 GMT | GET | {} | /users | {} | 200 | 11.919 ms
Sat, 17 Oct 2020 19:22:02 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 9.051 ms
Sat, 17 Oct 2020 19:22:02 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 2.075 ms
Sat, 17 Oct 2020 19:22:02 GMT | POST | {"name":"TEST_USER","login":"test_user","password":"*******"} | /users | {} | 200 | 3.112 ms
Sat, 17 Oct 2020 19:22:02 GMT | POST | {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null} | /boards/42474cbb-e364-4d6d-a8b7-49090f75e2fc/tasks | {"boardId":"42474cbb-e364-4d6d-a8b7-49090f75e2fc"} | 200 | 5.121 ms
Sat, 17 Oct 2020 19:22:02 GMT | GET | {} | /users/0beb001f-2d35-4f52-af92-f42f357ef0f3 | {"id":"0beb001f-2d35-4f52-af92-f42f357ef0f3"} | 200 | 3.913 ms
Sat, 17 Oct 2020 19:22:02 GMT | GET | {} | /boards | {} | 200 | 2.614 ms
Sat, 17 Oct 2020 19:22:02 GMT | GET | {} | /boards/42474cbb-e364-4d6d-a8b7-49090f75e2fc/tasks | {"boardId":"42474cbb-e364-4d6d-a8b7-49090f75e2fc"} | 200 | 2.311 ms
Sat, 17 Oct 2020 19:22:02 GMT | DELETE | {} | /users/0beb001f-2d35-4f52-af92-f42f357ef0f3 | {"id":"0beb001f-2d35-4f52-af92-f42f357ef0f3"} | 204 | 2.518 ms
Sat, 17 Oct 2020 19:22:02 GMT | GET | {} | /boards | {} | 200 | 1.714 ms
Sat, 17 Oct 2020 19:22:02 GMT | POST | {"name":"TEST_USER","login":"test_user","password":"*******"} | /users | {} | 200 | 1.127 ms
Sat, 17 Oct 2020 19:22:02 GMT | GET | {} | /boards/42474cbb-e364-4d6d-a8b7-49090f75e2fc/tasks | {"boardId":"42474cbb-e364-4d6d-a8b7-49090f75e2fc"} | 200 | 1.785 ms
Sat, 17 Oct 2020 19:22:02 GMT | GET | {} | /boards/f55c51c1-e0d5-41fc-969e-de5328036486 | {"id":"f55c51c1-e0d5-41fc-969e-de5328036486"} | 200 | 2.460 ms
Sat, 17 Oct 2020 19:22:02 GMT | DELETE | {} | /users/4f574424-31ec-42d5-8173-254f7faec4f1 | {"id":"4f574424-31ec-42d5-8173-254f7faec4f1"} | 204 | 1.926 ms
